key	value
生活	43
町	40
避難	29
浪江町	26
国	25
ふるさと	22
今	22
原発	21
帰還	21
将来	16
復興	15
賠償	15
家	15
現在	14
東京電力	14
事故	13
不安	11
場所	11
住民	11
子ども	11
母	10
