key	value
町	128
生活	92
今	54
帰還	51
国	48
家	43
ふるさと	41
将来	39
復興	36
避難	35
除染	35
現在	33
原発	32
土地	32
場所	31
子ども	31
住宅	28
浪江町	27
事故	25
不安	25
住民	25
東京電力	25
今後	22
賠償	21
必要	21
状態	20
自分	20
区域	18
補償	18
線量	17
双葉町	17
困難	16
居住	16
自宅	16
対応	15
どこ	15
富岡町	15
みんな	14
地域	14
いつ	14
姿	14
いわき市	14
すべて	13
時間	13
母	13
近く	12
自治体	12
施設	12
双葉郡	12
家族	12
仮設	11
夫婦	11
町民	11
個人	11
インフラ	11
仕事	11
大変	11
震災	11
アンケート	11
一緒	11
希望	10
購入	10
心配	10
心	10
廃炉	10
入居	10
環境	10
無理	10
大熊町	10
