key	value
町	90
生活	59
今	34
家	31
避難	30
住宅	30
将来	29
ふるさと	28
帰還	27
復興	26
除染	24
現在	22
国	22
子ども	22
浪江町	21
富岡町	20
不安	17
原発	16
住民	16
土地	16
事故	15
場所	14
自分	14
地域	13
東京電力	13
仕事	12
自宅	12
家族	12
必要	12
希望	11
アンケート	11
今後	11
みんな	11
息子	11
居住	11
気持ち	11
近く	10
時間	10
環境	10
状態	10
