key	value
町	99
生活	71
今	52
避難	51
家	51
国	44
ふるさと	44
復興	39
浪江町	37
原発	35
帰還	35
住宅	31
事故	25
東京電力	25
除染	24
希望	22
将来	22
現在	22
施設	21
住民	21
子ども	20
地区	18
場所	17
時間	17
町民	16
高齢者	16
土地	16
双葉町	16
自分	15
地域	14
賠償	13
困難	13
心配	13
大変	13
震災	13
アンケート	13
自宅	13
安心	13
金	12
仮設	12
気持ち	12
不安	12
息子	12
家族	12
富岡町	12
現状	11
帰宅	11
状態	11
福島	11
残念	11
大熊町	11
近く	10
災害	10
制度	10
病院	10
補償	10
どこ	10
いつ	10
仮設住宅	10
整備	10
姿	10
