key	value
生活	85
町	84
家	62
今	59
子ども	43
避難	39
国	35
将来	33
浪江町	33
住宅	31
復興	28
土地	28
原発	27
ふるさと	25
不安	24
場所	24
住民	20
時間	19
東京電力	19
仮設	18
事故	18
現在	17
帰還	17
みんな	17
自宅	16
補償	16
自分	16
仕事	15
安心	15
富岡町	15
毎日	14
区域	14
母	14
家族	14
気持ち	14
大熊町	14
困難	13
希望	13
主人	13
賠償	13
どこ	13
いわき市	13
暮らし	12
状態	12
心配	11
入居	11
大変	11
姿	11
双葉町	11
近く	10
心	10
災害	10
いつまでも	10
除染	10
必要	10
夫	10
残念	10
